Linux 5.15.0-73-generic (bianca-MS-7C00) 	08/06/23 	_x86_64_	(8 CPU)

11:00:27        CPU     %user     %nice   %system   %iowait    %steal     %idle
11:00:44        all     87.97      0.00      1.77      0.00      0.00     10.25
11:00:44          0     89.90      0.00      1.01      0.00      0.00      9.09
11:00:44          1     86.87      0.00      0.00      0.00      0.00     13.13
11:00:44          2     89.80      0.00      1.02      0.00      0.00      9.18
11:00:44          3     88.12      0.00      2.97      0.00      0.00      8.91
11:00:44          4     83.84      0.00      4.04      0.00      0.00     12.12
11:00:44          5     86.73      0.00      4.08      0.00      0.00      9.18
11:00:44          6     88.78      0.00      1.02      0.00      0.00     10.20
11:00:44          7     89.80      0.00      0.00      0.00      0.00     10.20

Average:        CPU     %user     %nice   %system   %iowait    %steal     %idle
Average:        all     87.97      0.00      1.77      0.00      0.00     10.25
Average:          0     89.90      0.00      1.01      0.00      0.00      9.09
Average:          1     86.87      0.00      0.00      0.00      0.00     13.13
Average:          2     89.80      0.00      1.02      0.00      0.00      9.18
Average:          3     88.12      0.00      2.97      0.00      0.00      8.91
Average:          4     83.84      0.00      4.04      0.00      0.00     12.12
Average:          5     86.73      0.00      4.08      0.00      0.00      9.18
Average:          6     88.78      0.00      1.02      0.00      0.00     10.20
Average:          7     89.80      0.00      0.00      0.00      0.00     10.20
Linux 5.15.0-73-generic (bianca-MS-7C00) 	08/06/23 	_x86_64_	(8 CPU)

11:00:45        CPU     %user     %nice   %system   %iowait    %steal     %idle
11:00:46        all     16.60      0.00      1.13      0.25      0.00     82.01
11:00:46          0     16.00      0.00      0.00      0.00      0.00     84.00
11:00:46          1     22.64      0.00      0.00      0.00      0.00     77.36
11:00:46          2     16.00      0.00      1.00      0.00      0.00     83.00
11:00:46          3     15.31      0.00      3.06      0.00      0.00     81.63
11:00:46          4     23.00      0.00      2.00      0.00      0.00     75.00
11:00:46          5     14.43      0.00      1.03      0.00      0.00     84.54
11:00:46          6     13.68      0.00      1.05      1.05      0.00     84.21
11:00:46          7     11.11      0.00      1.01      1.01      0.00     86.87

Average:        CPU     %user     %nice   %system   %iowait    %steal     %idle
Average:        all     16.60      0.00      1.13      0.25      0.00     82.01
Average:          0     16.00      0.00      0.00      0.00      0.00     84.00
Average:          1     22.64      0.00      0.00      0.00      0.00     77.36
Average:          2     16.00      0.00      1.00      0.00      0.00     83.00
Average:          3     15.31      0.00      3.06      0.00      0.00     81.63
Average:          4     23.00      0.00      2.00      0.00      0.00     75.00
Average:          5     14.43      0.00      1.03      0.00      0.00     84.54
Average:          6     13.68      0.00      1.05      1.05      0.00     84.21
Average:          7     11.11      0.00      1.01      1.01      0.00     86.87
Linux 5.15.0-73-generic (bianca-MS-7C00) 	08/06/23 	_x86_64_	(8 CPU)

11:00:47        CPU     %user     %nice   %system   %iowait    %steal     %idle
11:00:48        all     15.25      0.00      1.38      0.00      0.00     83.38
11:00:48          0     14.43      0.00      2.06      0.00      0.00     83.51
11:00:48          1     15.15      0.00      1.01      0.00      0.00     83.84
11:00:48          2     14.29      0.00      1.02      0.00      0.00     84.69
11:00:48          3     15.00      0.00      1.00      0.00      0.00     84.00
11:00:48          4     17.48      0.00      0.97      0.00      0.00     81.55
11:00:48          5     14.85      0.00      1.98      0.00      0.00     83.17
11:00:48          6     14.14      0.00      1.01      0.00      0.00     84.85
11:00:48          7     16.50      0.00      1.94      0.00      0.00     81.55

Average:        CPU     %user     %nice   %system   %iowait    %steal     %idle
Average:        all     15.25      0.00      1.38      0.00      0.00     83.38
Average:          0     14.43      0.00      2.06      0.00      0.00     83.51
Average:          1     15.15      0.00      1.01      0.00      0.00     83.84
Average:          2     14.29      0.00      1.02      0.00      0.00     84.69
Average:          3     15.00      0.00      1.00      0.00      0.00     84.00
Average:          4     17.48      0.00      0.97      0.00      0.00     81.55
Average:          5     14.85      0.00      1.98      0.00      0.00     83.17
Average:          6     14.14      0.00      1.01      0.00      0.00     84.85
Average:          7     16.50      0.00      1.94      0.00      0.00     81.55
Linux 5.15.0-73-generic (bianca-MS-7C00) 	08/06/23 	_x86_64_	(8 CPU)

11:00:49        CPU     %user     %nice   %system   %iowait    %steal     %idle
11:00:50        all     15.44      0.00      1.14      0.00      0.00     83.42
11:00:50          0     11.22      0.00      0.00      0.00      0.00     88.78
11:00:50          1     10.42      0.00      0.00      0.00      0.00     89.58
11:00:50          2     15.84      0.00      1.98      0.00      0.00     82.18
11:00:50          3     13.00      0.00      1.00      0.00      0.00     86.00
11:00:50          4     18.18      0.00      2.02      0.00      0.00     79.80
11:00:50          5     19.19      0.00      2.02      0.00      0.00     78.79
11:00:50          6     16.33      0.00      2.04      0.00      0.00     81.63
11:00:50          7     19.19      0.00      0.00      0.00      0.00     80.81

Average:        CPU     %user     %nice   %system   %iowait    %steal     %idle
Average:        all     15.44      0.00      1.14      0.00      0.00     83.42
Average:          0     11.22      0.00      0.00      0.00      0.00     88.78
Average:          1     10.42      0.00      0.00      0.00      0.00     89.58
Average:          2     15.84      0.00      1.98      0.00      0.00     82.18
Average:          3     13.00      0.00      1.00      0.00      0.00     86.00
Average:          4     18.18      0.00      2.02      0.00      0.00     79.80
Average:          5     19.19      0.00      2.02      0.00      0.00     78.79
Average:          6     16.33      0.00      2.04      0.00      0.00     81.63
Average:          7     19.19      0.00      0.00      0.00      0.00     80.81
Linux 5.15.0-73-generic (bianca-MS-7C00) 	08/06/23 	_x86_64_	(8 CPU)

11:00:51        CPU     %user     %nice   %system   %iowait    %steal     %idle
11:00:52        all     15.04      0.00      2.31      0.00      0.00     82.65
11:00:52          0     21.43      0.00      2.04      0.00      0.00     76.53
11:00:52          1     17.71      0.00      3.12      0.00      0.00     79.17
11:00:52          2     15.46      0.00      3.09      0.00      0.00     81.44
11:00:52          3     12.37      0.00      2.06      0.00      0.00     85.57
11:00:52          4      9.47      0.00      3.16      0.00      0.00     87.37
11:00:52          5     18.63      0.00      1.96      0.00      0.00     79.41
11:00:52          6     10.42      0.00      1.04      0.00      0.00     88.54
11:00:52          7     14.43      0.00      2.06      0.00      0.00     83.51

Average:        CPU     %user     %nice   %system   %iowait    %steal     %idle
Average:        all     15.04      0.00      2.31      0.00      0.00     82.65
Average:          0     21.43      0.00      2.04      0.00      0.00     76.53
Average:          1     17.71      0.00      3.12      0.00      0.00     79.17
Average:          2     15.46      0.00      3.09      0.00      0.00     81.44
Average:          3     12.37      0.00      2.06      0.00      0.00     85.57
Average:          4      9.47      0.00      3.16      0.00      0.00     87.37
Average:          5     18.63      0.00      1.96      0.00      0.00     79.41
Average:          6     10.42      0.00      1.04      0.00      0.00     88.54
Average:          7     14.43      0.00      2.06      0.00      0.00     83.51
Linux 5.15.0-73-generic (bianca-MS-7C00) 	08/06/23 	_x86_64_	(8 CPU)

11:00:53        CPU     %user     %nice   %system   %iowait    %steal     %idle
11:00:54        all     16.00      0.00      0.75      0.00      0.00     83.25
11:00:54          0     18.27      0.00      0.96      0.00      0.00     80.77
11:00:54          1     11.46      0.00      0.00      0.00      0.00     88.54
11:00:54          2     19.59      0.00      2.06      0.00      0.00     78.35
11:00:54          3      5.05      0.00      0.00      0.00      0.00     94.95
11:00:54          4     19.42      0.00      1.94      0.00      0.00     78.64
11:00:54          5     19.19      0.00      1.01      0.00      0.00     79.80
