Linux 5.15.0-73-generic (bianca-MS-7C00) 	09/06/23 	_x86_64_	(8 CPU)

19:49:20        CPU     %user     %nice   %system   %iowait    %steal     %idle
19:49:33          4      0.00      0.00      0.00      0.00      0.00    100.00
19:49:33          5      0.00      0.00      1.00      0.00      0.00     99.00
19:49:33          6      0.99      0.00      0.99      0.00      0.00     98.02
19:49:33          7      0.00      0.00      0.00      0.00      0.00    100.00

Average:        CPU     %user     %nice   %system   %iowait    %steal     %idle
Average:        all      0.25      0.00      0.50      0.00      0.00     99.25
Average:          0      0.00      0.00      0.00      0.00      0.00    100.00
Average:          1      0.00      0.00      0.00      0.00      0.00    100.00
Average:          2      0.99      0.00      0.99      0.00      0.00     98.02
Average:          3      0.00      0.00      0.99      0.00      0.00     99.01
Average:          4      0.00      0.00      0.00      0.00      0.00    100.00
Average:          5      0.00      0.00      1.00      0.00      0.00     99.00
Average:          6      0.99      0.00      0.99      0.00      0.00     98.02
Average:          7      0.00      0.00      0.00      0.00      0.00    100.00
Linux 5.15.0-73-generic (bianca-MS-7C00) 	09/06/23 	_x86_64_	(8 CPU)

19:49:34        CPU     %user     %nice   %system   %iowait    %steal     %idle
19:49:35        all      0.25      0.00      0.25      0.12      0.00     99.38
19:49:35          0      0.00      0.00      0.00      0.00      0.00    100.00
19:49:35          1      0.00      0.00      0.00      0.00      0.00    100.00
19:49:35          2      1.00      0.00      0.00      0.00      0.00     99.00
19:49:35          3      0.00      0.00      0.00      0.00      0.00    100.00
19:49:35          4      0.00      0.00      1.00      0.00      0.00     99.00
19:49:35          5      0.00      0.00      0.00      1.01      0.00     98.99
19:49:35          6      0.00      0.00      0.00      0.00      0.00    100.00
19:49:35          7      0.99      0.00      0.99      0.00      0.00     98.02

Average:        CPU     %user     %nice   %system   %iowait    %steal     %idle
Average:        all      0.25      0.00      0.25      0.12      0.00     99.38
Average:          0      0.00      0.00      0.00      0.00      0.00    100.00
Average:          1      0.00      0.00      0.00      0.00      0.00    100.00
Average:          2      1.00      0.00      0.00      0.00      0.00     99.00
Average:          3      0.00      0.00      0.00      0.00      0.00    100.00
Average:          4      0.00      0.00      1.00      0.00      0.00     99.00
Average:          5      0.00      0.00      0.00      1.01      0.00     98.99
Average:          6      0.00      0.00      0.00      0.00      0.00    100.00
Average:          7      0.99      0.00      0.99      0.00      0.00     98.02
Linux 5.15.0-73-generic (bianca-MS-7C00) 	09/06/23 	_x86_64_	(8 CPU)

19:49:36        CPU     %user     %nice   %system   %iowait    %steal     %idle
19:49:37        all      0.25      0.00      0.12      0.00      0.00     99.63
19:49:37          0      0.00      0.00      0.00      0.00      0.00    100.00
19:49:37          1      0.00      0.00      0.00      0.00      0.00    100.00
19:49:37          2      0.00      0.00      0.00      0.00      0.00    100.00
19:49:37          3      0.00      0.00      0.00      0.00      0.00    100.00
19:49:37          4      0.99      0.00      0.00      0.00      0.00     99.01
19:49:37          5      0.00      0.00      0.00      0.00      0.00    100.00
19:49:37          6      0.99      0.00      0.99      0.00      0.00     98.02
19:49:37          7      0.00      0.00      0.00      0.00      0.00    100.00

Average:        CPU     %user     %nice   %system   %iowait    %steal     %idle
Average:        all      0.25      0.00      0.12      0.00      0.00     99.63
Average:          0      0.00      0.00      0.00      0.00      0.00    100.00
Average:          1      0.00      0.00      0.00      0.00      0.00    100.00
Average:          2      0.00      0.00      0.00      0.00      0.00    100.00
Average:          3      0.00      0.00      0.00      0.00      0.00    100.00
Average:          4      0.99      0.00      0.00      0.00      0.00     99.01
Average:          5      0.00      0.00      0.00      0.00      0.00    100.00
Average:          6      0.99      0.00      0.99      0.00      0.00     98.02
Average:          7      0.00      0.00      0.00      0.00      0.00    100.00
Linux 5.15.0-73-generic (bianca-MS-7C00) 	09/06/23 	_x86_64_	(8 CPU)

19:49:38        CPU     %user     %nice   %system   %iowait    %steal     %idle
19:49:39        all      0.25      0.00      0.13      0.00      0.00     99.62
19:49:39          0      0.00      0.00      0.00      0.00      0.00    100.00
19:49:39          1      0.00      0.00      0.00      0.00      0.00    100.00
19:49:39          2      1.00      0.00      0.00      0.00      0.00     99.00
19:49:39          3      0.00      0.00      0.00      0.00      0.00    100.00
19:49:39          4      0.99      0.00      0.00      0.00      0.00     99.01
19:49:39          5      0.00      0.00      0.00      0.00      0.00    100.00
19:49:39          6      0.00      0.00      1.00      0.00      0.00     99.00
19:49:39          7      0.00      0.00      0.00      0.00      0.00    100.00

